Time in s	CH I in Volt	CH II in Volt	
1.579E-4	1.20E-01	-4.40E-02	
1.58E-4	1.20E-01	-4.20E-02	
1.581E-4	1.20E-01	-4.20E-02	
1.582E-4	1.20E-01	-4.00E-02	
1.583E-4	1.20E-01	-4.00E-02	
1.584E-4	1.20E-01	-3.80E-02	
1.585E-4	1.20E-01	-3.80E-02	
1.586E-4	1.60E-01	-4.00E-02	
1.587E-4	1.60E-01	-4.00E-02	
1.588E-4	1.60E-01	-4.00E-02	
1.589E-4	1.60E-01	-4.00E-02	
1.59E-4	1.60E-01	-3.80E-02	
1.591E-4	1.60E-01	-3.80E-02	
1.592E-4	1.60E-01	-3.80E-02	
1.593E-4	1.60E-01	-4.00E-02	
1.594E-4	1.60E-01	-4.00E-02	
1.595E-4	1.60E-01	-4.00E-02	
1.596E-4	1.60E-01	-4.00E-02	
1.597E-4	1.20E-01	-3.80E-02	
1.598E-4	1.20E-01	-3.60E-02	
1.599E-4	1.20E-01	-3.60E-02	
1.6E-4	1.20E-01	-3.60E-02	
1.601E-4	1.20E-01	-3.80E-02	
1.602E-4	1.20E-01	-3.80E-02	
1.603E-4	1.20E-01	-3.80E-02	
1.604E-4	1.20E-01	-3.60E-02	
1.605E-4	1.60E-01	-3.60E-02	
1.606E-4	1.60E-01	-3.60E-02	
1.607E-4	1.60E-01	-3.80E-02	
1.608E-4	1.60E-01	-3.80E-02	
1.609E-4	1.60E-01	-4.00E-02	
1.61E-4	1.20E-01	-4.00E-02	
1.611E-4	1.20E-01	-4.20E-02	
1.612E-4	1.20E-01	-4.20E-02	
1.613E-4	1.20E-01	-4.20E-02	
1.614E-4	1.20E-01	-4.20E-02	
1.615E-4	1.20E-01	-4.00E-02	
1.616E-4	1.20E-01	-3.80E-02	
1.617E-4	1.20E-01	-3.60E-02	
1.618E-4	1.20E-01	-3.20E-02	
1.619E-4	1.20E-01	-3.20E-02	
1.62E-4	1.20E-01	-3.00E-02	
1.621E-4	1.20E-01	-3.00E-02	
1.622E-4	1.60E-01	-3.00E-02	
1.623E-4	1.60E-01	-3.00E-02	
1.624E-4	1.60E-01	-3.00E-02	
1.625E-4	1.60E-01	-3.20E-02	
1.626E-4	1.60E-01	-3.20E-02	
1.627E-4	1.20E-01	-3.40E-02	
1.628E-4	1.20E-01	-3.60E-02	
1.629E-4	1.20E-01	-3.80E-02	
1.63E-4	1.20E-01	-4.00E-02	
1.631E-4	1.20E-01	-4.00E-02	
1.632E-4	1.20E-01	-4.00E-02	
1.633E-4	1.20E-01	-3.80E-02	
1.634E-4	1.20E-01	-3.80E-02	
1.635E-4	1.20E-01	-3.60E-02	
1.636E-4	1.20E-01	-3.20E-02	
1.637E-4	1.20E-01	-3.20E-02	
1.638E-4	1.20E-01	-3.20E-02	
1.639E-4	1.60E-01	-3.20E-02	
1.64E-4	1.60E-01	-3.40E-02	
1.641E-4	1.60E-01	-3.60E-02	
1.642E-4	1.60E-01	-3.60E-02	
1.643E-4	1.60E-01	-3.80E-02	
1.644E-4	1.20E-01	-3.80E-02	
1.645E-4	1.20E-01	-4.00E-02	
1.646E-4	1.20E-01	-4.00E-02	
1.647E-4	1.20E-01	-4.00E-02	
1.648E-4	1.20E-01	-4.00E-02	
1.649E-4	1.20E-01	-4.00E-02	
1.65E-4	1.20E-01	-4.00E-02	
1.651E-4	1.20E-01	-4.00E-02	
1.652E-4	1.20E-01	-4.00E-02	
1.653E-4	1.20E-01	-4.00E-02	
1.654E-4	1.20E-01	-4.00E-02	
1.655E-4	1.60E-01	-4.00E-02	
1.656E-4	1.60E-01	-4.00E-02	
1.657E-4	1.60E-01	-4.20E-02	
1.658E-4	1.20E-01	-4.40E-02	
1.659E-4	1.20E-01	-4.40E-02	
1.66E-4	1.20E-01	-4.60E-02	
1.661E-4	1.20E-01	-4.60E-02	
1.662E-4	1.20E-01	-4.60E-02	
1.663E-4	1.20E-01	-4.60E-02	
1.664E-4	1.20E-01	-4.60E-02	
1.665E-4	1.20E-01	-4.60E-02	
1.666E-4	1.20E-01	-4.60E-02	
1.667E-4	1.20E-01	-4.40E-02	
1.668E-4	1.20E-01	-4.20E-02	
1.669E-4	1.60E-01	-4.00E-02	
1.67E-4	1.60E-01	-4.00E-02	
1.671E-4	1.60E-01	-4.00E-02	
1.672E-4	1.20E-01	-4.00E-02	
1.673E-4	1.60E-01	-4.00E-02	
1.674E-4	1.60E-01	-4.20E-02	
1.675E-4	1.60E-01	-4.20E-02	
1.676E-4	1.20E-01	-4.60E-02	
1.677E-4	1.20E-01	-4.80E-02	
1.678E-4	1.20E-01	-5.20E-02	
1.679E-4	1.20E-01	-5.40E-02	
1.68E-4	1.60E-01	-5.40E-02	
1.681E-4	1.20E-01	-5.20E-02	
1.682E-4	1.60E-01	-5.20E-02	
1.683E-4	1.60E-01	-5.00E-02	
1.684E-4	1.60E-01	-5.00E-02	
1.685E-4	1.60E-01	-5.00E-02	
1.686E-4	1.60E-01	-5.00E-02	
1.687E-4	1.60E-01	-4.80E-02	
1.688E-4	1.60E-01	-4.80E-02	
1.689E-4	1.60E-01	-4.80E-02	
1.69E-4	1.20E-01	-5.00E-02	
1.691E-4	1.60E-01	-5.00E-02	
1.692E-4	1.60E-01	-5.00E-02	
1.693E-4	1.20E-01	-5.20E-02	
1.694E-4	1.20E-01	-5.40E-02	
1.695E-4	1.20E-01	-5.60E-02	
1.696E-4	1.20E-01	-5.80E-02	
1.697E-4	1.20E-01	-5.80E-02	
1.698E-4	1.60E-01	-5.80E-02	
1.699E-4	1.20E-01	-5.80E-02	
1.7E-4	1.20E-01	-5.60E-02	
1.701E-4	1.20E-01	-5.40E-02	
1.702E-4	1.20E-01	-5.40E-02	
1.703E-4	1.20E-01	-5.20E-02	
1.704E-4	1.20E-01	-5.20E-02	
1.705E-4	1.20E-01	-5.20E-02	
1.706E-4	1.60E-01	-5.20E-02	
1.707E-4	1.20E-01	-5.20E-02	
1.708E-4	1.20E-01	-5.20E-02	
1.709E-4	1.60E-01	-5.20E-02	
1.71E-4	1.20E-01	-5.20E-02	
1.711E-4	1.20E-01	-5.40E-02	
1.712E-4	1.20E-01	-5.40E-02	
1.713E-4	1.20E-01	-5.40E-02	
1.714E-4	1.20E-01	-5.20E-02	
1.715E-4	1.20E-01	-5.20E-02	
1.716E-4	1.20E-01	-5.20E-02	
1.717E-4	1.20E-01	-5.20E-02	
1.718E-4	1.20E-01	-5.20E-02	
1.719E-4	1.20E-01	-5.20E-02	
1.72E-4	1.20E-01	-5.20E-02	
1.721E-4	1.20E-01	-5.40E-02	
1.722E-4	1.60E-01	-5.40E-02	
1.723E-4	1.60E-01	-5.40E-02	
1.724E-4	1.60E-01	-5.60E-02	
1.725E-4	1.20E-01	-5.60E-02	
1.726E-4	1.60E-01	-5.60E-02	
1.727E-4	1.60E-01	-5.60E-02	
1.728E-4	1.20E-01	-5.60E-02	
1.729E-4	1.60E-01	-5.40E-02	
1.73E-4	1.60E-01	-5.40E-02	
1.731E-4	1.20E-01	-5.40E-02	
1.732E-4	1.20E-01	-5.20E-02	
1.733E-4	1.20E-01	-5.40E-02	
1.734E-4	1.20E-01	-5.40E-02	
1.735E-4	1.20E-01	-5.40E-02	
1.736E-4	1.20E-01	-5.20E-02	
1.737E-4	1.20E-01	-5.20E-02	
1.738E-4	1.20E-01	-5.00E-02	
1.739E-4	1.20E-01	-5.00E-02	
1.74E-4	1.20E-01	-5.00E-02	
1.741E-4	1.20E-01	-5.20E-02	
1.742E-4	1.20E-01	-5.20E-02	
1.743E-4	1.20E-01	-5.00E-02	
1.744E-4	1.20E-01	-5.00E-02	
1.745E-4	1.20E-01	-5.20E-02	
1.746E-4	1.20E-01	-5.20E-02	
1.747E-4	1.20E-01	-5.40E-02	
1.748E-4	1.20E-01	-5.60E-02	
1.749E-4	1.20E-01	-5.40E-02	
1.75E-4	1.20E-01	-5.20E-02	
1.751E-4	1.20E-01	-5.00E-02	
1.752E-4	1.20E-01	-5.00E-02	
1.753E-4	1.20E-01	-5.00E-02	
1.754E-4	1.20E-01	-5.00E-02	
1.755E-4	1.20E-01	-5.00E-02	
1.756E-4	1.60E-01	-5.20E-02	
1.757E-4	1.60E-01	-5.40E-02	
1.758E-4	1.60E-01	-5.40E-02	
1.759E-4	1.60E-01	-5.60E-02	
1.76E-4	1.60E-01	-5.60E-02	
1.761E-4	1.60E-01	-5.60E-02	
1.762E-4	1.60E-01	-5.60E-02	
1.763E-4	1.60E-01	-5.40E-02	
1.764E-4	1.60E-01	-5.40E-02	
1.765E-4	1.60E-01	-5.40E-02	
1.766E-4	1.60E-01	-5.40E-02	
1.767E-4	1.60E-01	-5.20E-02	
1.768E-4	1.60E-01	-5.20E-02	
1.769E-4	1.60E-01	-5.20E-02	
1.77E-4	1.60E-01	-5.20E-02	
1.771E-4	1.60E-01	-5.20E-02	
1.772E-4	1.60E-01	-5.20E-02	
1.773E-4	1.60E-01	-5.20E-02	
1.774E-4	1.60E-01	-5.20E-02	
1.775E-4	1.60E-01	-5.00E-02	
1.776E-4	1.60E-01	-5.00E-02	
1.777E-4	1.60E-01	-5.00E-02	
1.778E-4	1.60E-01	-5.00E-02	
1.779E-4	1.60E-01	-5.00E-02	
1.78E-4	1.60E-01	-5.00E-02	
1.781E-4	1.60E-01	-4.80E-02	
1.782E-4	1.20E-01	-4.80E-02	
1.783E-4	1.20E-01	-4.80E-02	
1.784E-4	1.20E-01	-5.00E-02	
1.785E-4	1.20E-01	-5.00E-02	
1.786E-4	1.20E-01	-5.00E-02	
1.787E-4	1.20E-01	-5.00E-02	
1.788E-4	1.20E-01	-4.80E-02	
1.789E-4	1.20E-01	-4.80E-02	
1.79E-4	1.20E-01	-4.80E-02	
1.791E-4	1.20E-01	-4.80E-02	
1.792E-4	1.20E-01	-4.80E-02	
1.793E-4	1.20E-01	-5.00E-02	
1.794E-4	1.20E-01	-5.00E-02	
1.795E-4	1.20E-01	-5.20E-02	
1.796E-4	1.20E-01	-5.20E-02	
1.797E-4	1.20E-01	-5.20E-02	
1.798E-4	1.20E-01	-5.20E-02	
1.799E-4	1.20E-01	-5.00E-02	
1.8E-4	1.20E-01	-5.00E-02	
1.801E-4	1.20E-01	-5.00E-02	
1.802E-4	1.60E-01	-5.00E-02	
1.803E-4	1.20E-01	-5.00E-02	
1.804E-4	1.60E-01	-5.00E-02	
1.805E-4	1.20E-01	-5.00E-02	
1.806E-4	1.60E-01	-5.00E-02	
1.807E-4	1.60E-01	-5.00E-02	
1.808E-4	1.20E-01	-5.00E-02	
1.809E-4	1.20E-01	-5.00E-02	
1.81E-4	1.20E-01	-5.00E-02	
1.811E-4	1.20E-01	-5.00E-02	
1.812E-4	1.20E-01	-5.00E-02	
1.813E-4	1.20E-01	-5.00E-02	
1.814E-4	1.20E-01	-5.00E-02	
1.815E-4	1.20E-01	-5.00E-02	
1.816E-4	1.20E-01	-5.00E-02	
1.817E-4	1.20E-01	-5.00E-02	
1.818E-4	1.20E-01	-5.00E-02	
1.819E-4	1.20E-01	-5.00E-02	
1.82E-4	1.20E-01	-5.00E-02	
1.821E-4	1.20E-01	-4.80E-02	
1.822E-4	1.20E-01	-4.80E-02	
1.823E-4	1.20E-01	-4.60E-02	
1.824E-4	1.20E-01	-4.60E-02	
1.825E-4	1.20E-01	-4.60E-02	
1.826E-4	1.60E-01	-4.40E-02	
1.827E-4	1.60E-01	-4.40E-02	
1.828E-4	1.20E-01	-4.40E-02	
1.829E-4	1.20E-01	-4.40E-02	
1.83E-4	1.20E-01	-4.40E-02	
1.831E-4	1.20E-01	-4.40E-02	
1.832E-4	1.20E-01	-4.40E-02	
1.833E-4	1.20E-01	-4.40E-02	
1.834E-4	1.20E-01	-4.40E-02	
1.835E-4	1.20E-01	-4.20E-02	
1.836E-4	1.20E-01	-4.20E-02	
1.837E-4	1.20E-01	-4.20E-02	
1.838E-4	1.20E-01	-4.40E-02	
1.839E-4	1.60E-01	-4.40E-02	
1.84E-4	1.60E-01	-4.60E-02	
1.841E-4	1.60E-01	-4.60E-02	
1.842E-4	1.60E-01	-4.60E-02	
1.843E-4	1.60E-01	-4.60E-02	
1.844E-4	1.60E-01	-4.40E-02	
1.845E-4	1.60E-01	-4.40E-02	
1.846E-4	1.60E-01	-4.40E-02	
1.847E-4	1.60E-01	-4.40E-02	
1.848E-4	1.20E-01	-4.60E-02	
1.849E-4	1.60E-01	-4.40E-02	
1.85E-4	1.60E-01	-4.20E-02	
1.851E-4	1.60E-01	-4.20E-02	
1.852E-4	1.60E-01	-4.00E-02	
1.853E-4	1.60E-01	-3.80E-02	
1.854E-4	1.60E-01	-3.60E-02	
1.855E-4	1.60E-01	-3.60E-02	
1.856E-4	1.60E-01	-3.40E-02	
1.857E-4	1.60E-01	-3.60E-02	
1.858E-4	1.60E-01	-3.40E-02	
1.859E-4	1.60E-01	-3.40E-02	
1.86E-4	1.20E-01	-3.20E-02	
1.861E-4	1.20E-01	-3.00E-02	
1.862E-4	1.20E-01	-3.00E-02	
1.863E-4	1.20E-01	-3.20E-02	
1.864E-4	1.20E-01	-3.40E-02	
1.865E-4	1.20E-01	-3.40E-02	
1.866E-4	1.20E-01	-3.40E-02	
1.867E-4	1.20E-01	-3.40E-02	
1.868E-4	1.20E-01	-3.40E-02	
1.869E-4	1.20E-01	-3.40E-02	
1.87E-4	1.20E-01	-3.60E-02	
1.871E-4	1.20E-01	-3.60E-02	
1.872E-4	1.20E-01	-3.40E-02	
1.873E-4	1.20E-01	-3.40E-02	
1.874E-4	1.20E-01	-3.20E-02	
1.875E-4	1.20E-01	-3.40E-02	
1.876E-4	1.20E-01	-3.40E-02	
1.877E-4	1.20E-01	-3.40E-02	
1.878E-4	1.20E-01	-3.40E-02	
1.879E-4	1.20E-01	-3.20E-02	
1.88E-4	1.20E-01	-3.20E-02	
1.881E-4	1.20E-01	-3.20E-02	
1.882E-4	1.20E-01	-3.20E-02	
1.883E-4	1.20E-01	-3.20E-02	
1.884E-4	1.20E-01	-3.20E-02	
1.885E-4	1.20E-01	-3.40E-02	
1.886E-4	1.20E-01	-3.20E-02	
1.887E-4	1.20E-01	-3.20E-02	
1.888E-4	1.20E-01	-3.00E-02	
1.889E-4	1.20E-01	-3.00E-02	
1.89E-4	1.20E-01	-3.00E-02	
1.891E-4	1.20E-01	-3.00E-02	
1.892E-4	1.20E-01	-3.00E-02	
1.893E-4	1.60E-01	-3.00E-02	
1.894E-4	1.60E-01	-3.20E-02	
1.895E-4	1.20E-01	-3.20E-02	
1.896E-4	1.20E-01	-3.20E-02	
1.897E-4	1.20E-01	-3.00E-02	
1.898E-4	1.20E-01	-3.00E-02	
1.899E-4	1.20E-01	-2.80E-02	
1.9E-4	1.20E-01	-2.60E-02	
1.901E-4	1.20E-01	-2.60E-02	
1.902E-4	1.20E-01	-2.60E-02	
1.903E-4	1.20E-01	-2.80E-02	
1.904E-4	1.60E-01	-3.00E-02	
1.905E-4	1.20E-01	-3.00E-02	
1.906E-4	1.60E-01	-2.80E-02	
1.907E-4	1.60E-01	-2.80E-02	
1.908E-4	1.60E-01	-2.60E-02	
1.909E-4	1.60E-01	-2.60E-02	
1.91E-4	1.60E-01	-2.80E-02	
1.911E-4	1.20E-01	-2.80E-02	
1.912E-4	1.20E-01	-2.80E-02	
1.913E-4	1.20E-01	-3.00E-02	
1.914E-4	1.20E-01	-3.00E-02	
1.915E-4	1.20E-01	-3.00E-02	
1.916E-4	1.20E-01	-3.00E-02	
1.917E-4	1.20E-01	-3.20E-02	
1.918E-4	1.20E-01	-3.40E-02	
1.919E-4	1.20E-01	-3.60E-02	
1.92E-4	1.20E-01	-3.80E-02	
1.921E-4	1.20E-01	-3.80E-02	
1.922E-4	1.20E-01	-3.80E-02	
1.923E-4	1.20E-01	-3.80E-02	
1.924E-4	1.20E-01	-3.80E-02	
1.925E-4	1.20E-01	-3.80E-02	
1.926E-4	1.20E-01	-3.60E-02	
1.927E-4	1.20E-01	-3.40E-02	
1.928E-4	1.20E-01	-3.40E-02	
1.929E-4	1.20E-01	-3.20E-02	
1.93E-4	1.20E-01	-3.00E-02	
1.931E-4	1.60E-01	-3.00E-02	
1.932E-4	1.60E-01	-2.80E-02	
1.933E-4	1.60E-01	-2.60E-02	
1.934E-4	1.60E-01	-2.80E-02	
1.935E-4	1.20E-01	-2.80E-02	
1.936E-4	1.20E-01	-3.00E-02	
1.937E-4	1.20E-01	-3.00E-02	
1.938E-4	1.20E-01	-3.20E-02	
1.939E-4	1.20E-01	-3.20E-02	
1.94E-4	1.20E-01	-3.20E-02	
1.941E-4	1.20E-01	-3.40E-02	
1.942E-4	1.20E-01	-3.40E-02	
1.943E-4	1.20E-01	-3.20E-02	
1.944E-4	1.20E-01	-3.20E-02	
1.945E-4	1.20E-01	-3.40E-02	
1.946E-4	1.20E-01	-3.40E-02	
1.947E-4	1.20E-01	-3.60E-02	
1.948E-4	1.60E-01	-3.60E-02	
1.949E-4	1.20E-01	-3.60E-02	
1.95E-4	1.20E-01	-3.60E-02	
1.951E-4	1.60E-01	-3.60E-02	
1.952E-4	1.60E-01	-3.60E-02	
1.953E-4	1.60E-01	-3.60E-02	
1.954E-4	1.60E-01	-3.60E-02	
1.955E-4	1.60E-01	-3.80E-02	
1.956E-4	1.60E-01	-3.80E-02	
1.957E-4	1.60E-01	-4.00E-02	
1.958E-4	1.60E-01	-4.00E-02	
1.959E-4	1.20E-01	-3.80E-02	
1.96E-4	1.20E-01	-3.80E-02	
1.961E-4	1.20E-01	-3.80E-02	
1.962E-4	1.20E-01	-3.80E-02	
1.963E-4	1.20E-01	-3.60E-02	
1.964E-4	1.20E-01	-3.60E-02	
1.965E-4	1.20E-01	-3.60E-02	
1.966E-4	1.20E-01	-3.80E-02	
1.967E-4	1.20E-01	-4.00E-02	
1.968E-4	1.20E-01	-4.20E-02	
1.969E-4	1.20E-01	-4.40E-02	
1.97E-4	1.60E-01	-4.60E-02	
1.971E-4	1.60E-01	-4.60E-02	
1.972E-4	1.60E-01	-4.80E-02	
1.973E-4	1.60E-01	-4.80E-02	
1.974E-4	1.20E-01	-5.00E-02	
1.975E-4	1.20E-01	-5.00E-02	
1.976E-4	1.20E-01	-4.80E-02	
1.977E-4	1.20E-01	-4.80E-02	
1.978E-4	1.20E-01	-4.80E-02	
1.979E-4	1.20E-01	-4.80E-02	
1.98E-4	1.20E-01	-4.60E-02	
1.981E-4	1.20E-01	-4.60E-02	
1.982E-4	1.20E-01	-4.40E-02	
1.983E-4	1.20E-01	-4.20E-02	
1.984E-4	1.60E-01	-4.20E-02	
1.985E-4	1.60E-01	-4.20E-02	
1.986E-4	1.60E-01	-4.20E-02	
1.987E-4	1.60E-01	-4.20E-02	
1.988E-4	1.60E-01	-4.00E-02	
1.989E-4	1.60E-01	-4.00E-02	
1.99E-4	1.60E-01	-4.00E-02	
1.991E-4	1.60E-01	-4.20E-02	
1.992E-4	1.60E-01	-4.20E-02	
1.993E-4	1.60E-01	-4.20E-02	
1.994E-4	1.60E-01	-4.40E-02	
1.995E-4	1.60E-01	-4.40E-02	
1.996E-4	1.60E-01	-4.40E-02	
1.997E-4	1.20E-01	-4.40E-02	
1.998E-4	1.60E-01	-4.40E-02	
1.999E-4	1.60E-01	-4.40E-02	
2.E-4	1.60E-01	-4.40E-02	
2.001E-4	1.60E-01	-4.40E-02	
2.002E-4	1.60E-01	-4.60E-02	
2.003E-4	1.60E-01	-4.60E-02	
2.004E-4	1.60E-01	-4.60E-02	
2.005E-4	1.60E-01	-4.60E-02	
2.006E-4	1.20E-01	-4.60E-02	
2.007E-4	1.20E-01	-4.60E-02	
2.008E-4	1.20E-01	-4.60E-02	
2.009E-4	1.20E-01	-4.60E-02	
2.01E-4	1.20E-01	-4.80E-02	
2.011E-4	1.20E-01	-4.60E-02	
2.012E-4	1.20E-01	-4.60E-02	
2.013E-4	1.20E-01	-4.40E-02	
2.014E-4	1.20E-01	-4.20E-02	
2.015E-4	1.20E-01	-4.20E-02	
2.016E-4	1.20E-01	-4.20E-02	
2.017E-4	1.20E-01	-4.20E-02	
2.018E-4	1.20E-01	-4.20E-02	
2.019E-4	1.60E-01	-4.20E-02	
2.02E-4	1.60E-01	-4.40E-02	
2.021E-4	1.20E-01	-4.60E-02	
2.022E-4	1.20E-01	-4.60E-02	
2.023E-4	1.20E-01	-4.60E-02	
2.024E-4	1.20E-01	-4.60E-02	
2.025E-4	1.20E-01	-4.60E-02	
2.026E-4	1.20E-01	-4.80E-02	
2.027E-4	1.20E-01	-4.80E-02	
2.028E-4	1.20E-01	-5.00E-02	
2.029E-4	1.20E-01	-5.00E-02	
2.03E-4	1.20E-01	-5.00E-02	
2.031E-4	1.60E-01	-5.00E-02	
2.032E-4	1.60E-01	-5.00E-02	
2.033E-4	1.60E-01	-4.80E-02	
2.034E-4	1.20E-01	-4.60E-02	
2.035E-4	1.60E-01	-4.60E-02	
2.036E-4	1.60E-01	-4.40E-02	
2.037E-4	1.60E-01	-4.40E-02	
2.038E-4	1.20E-01	-4.40E-02	
2.039E-4	1.20E-01	-4.60E-02	
2.04E-4	1.60E-01	-4.60E-02	
2.041E-4	1.20E-01	-4.80E-02	
2.042E-4	1.60E-01	-4.80E-02	
2.043E-4	1.60E-01	-5.00E-02	
2.044E-4	1.20E-01	-5.00E-02	
2.045E-4	1.60E-01	-5.00E-02	
